ID,Pair,Long,Lat,Elevation,Race,Elevation_class,id,general_identifier,bank_number,collnumb,colldate,Sample.ID.of.DNA.from.single.plants.used.in.GWAS,CIMMYT_ID,SeeD_Elevation
CIMMYTMA-000449,Mex_20,-100.726374,28.26979,356,TUXPEN,Low,189,5474,CIMMYTMA-BANK-000449,COAH64,2/3/52,SEEDGWAS3809,CIMMYTMA 449,356
CIMMYTMA-000547,Mex_30,-99.632358,21.445085,562,TUXPEN,Low,238,5778,CIMMYTMA-BANK-000547,QUER50,,,CIMMYTMA 547,562
CIMMYTMA-000554,Mex_30,-101.25,21.01666667,2064,CELAYA,High,240,5782,CIMMYTMA-BANK-000554,GUAN4,1/1/43,SEEDGWAS2678,CIMMYTMA 554,2064
CIMMYTMA-000645,Mex_11,-104.563018,29.566727,798,CELAYA,Low,8489,243742,CIMMYTMA-BANK-000645,CHIH15,1/1/43,,CIMMYTMA 645,798
CIMMYTMA-000686,Mex_7,-95.436809,18.589859,30,TUXPEN,Low,8511,243764,CIMMYTMA-BANK-000686,VERA126,1/1/52,,CIMMYTMA 686,30
CIMMYTMA-000861,Mex_29,-107.460246,24.824405,46,CHAPAL,Low,8640,243893,CIMMYTMA-BANK-000861,SINA2,1/1/43,,CIMMYTMA 861,46
CIMMYTMA-001535,Mex_13,-99.8,20.7,2039,CONNOR,High,9107,244360,CIMMYTMA-BANK-001535,QUER56,,,CIMMYTMA 1535,2039
CIMMYTMA-001968,Mex_27,-98.68333333,18.88333333,2261,PEPITI,High,9421,244674,CIMMYTMA-BANK-001968,MORE37,1/1/67,,CIMMYTMA 1968,2261
CIMMYTMA-002335,Mex_3,-97.382222,20.43027778,109,TUXPEN,Low,768,9335,CIMMYTMA-BANK-002335,VERA77,1/1/48,,CIMMYTMA 2335,109
CIMMYTMA-003229,Mex_25,-96.87,20.32,5,TUXPEN,Low,971,11474,CIMMYTMA-BANK-003229,VERA142,7/2/59,SEEDGWAS156,CIMMYTMA 3229,5
