domestication,Accession,Origin,Species,Subspecies,RXSA,TCA,TSA,TSA.RXSA,TSA.TCA,AA,pct.A,CCA,pct.CCA,XVA,CC,CF,RDW,SDW,RDW.SDW,StemDia,Sem,Nod,NodLen,SysDia,AvgDia,Tips,Forks
Teosinte,Ames 13502,USA,Hybrid,,0.79,0.624,0.167,0.21,0.267,0.101,16.2,0.522,66.07,0.041,455.3,9.7,6.4,37,0.17,16,2,32,80,79,0.5,396,1163
Teosinte,Ames 21785,"Mexico, Guerrero",Zea mays,parviglumis,0.636,0.485,0.151,0.236,0.31,0.01,2.04,0.475,74.62,0.031,504.5,9.3,1.6,13.6,0.12,15.5,0,22.5,63,27,0.5,245,714
Teosinte,Ames 21786,"Mexico, Guerrero",Zea mays,parviglumis,1.027,0.747,0.281,0.27,0.37,0.018,3.2,0.728,70.9,0.047,694.3,10.3,1.7,10.3,0.17,17,0.5,23,80.5,50.5,0.4,222,487
Teosinte,Ames 21787,"Mexico, Guerrero",Zea mays,parviglumis,1.02,0.763,0.257,0.244,0.325,0.021,2.66,0.743,72.79,0.043,616.4,10.8,1.9,11.6,0.16,12,0,21.3,91,38.3,0.5,176.3,510.7
Teosinte,Ames 21789,"Mexico, Guerrero",Zea mays,parviglumis,1.146,0.867,0.279,0.239,0.315,0.096,9.66,0.771,67.24,0.04,602.9,10.3,1.9,10.5,0.18,14.7,0.3,23.3,75.7,40.3,0.5,286.3,829.7
Teosinte,Ames 21790,"Mexico, Guerrero",Zea mays,parviglumis,1.219,0.866,0.353,0.287,0.403,0.05,5.62,0.816,66.93,0.049,848,11,2.8,13,0.22,14,0,29.3,85.3,47.7,0.5,206.7,558.7
Teosinte,Ames 21793,"Mexico, Guerrero",Zea mays,parviglumis,0.981,0.706,0.275,0.29,0.41,0.044,5.29,0.662,67.51,0.048,677.2,10,1.6,10.5,0.15,20,0,24,83,35.5,0.5,301,1129.5
Teosinte,Ames 21796,"Mexico, Guerrero",Zea mays,parviglumis,0.943,0.734,0.21,0.223,0.288,0.016,1.68,0.718,76.11,0.03,497.2,9.2,1.4,10,0.14,16.5,0.5,20.5,65,23,0.8,82.5,203
Teosinte,Ames 21797,"Mexico, Guerrero",Zea mays,parviglumis,0.832,0.599,0.233,0.271,0.374,0.02,4.01,0.58,69.67,0.036,570.9,9.3,1.6,10,0.16,15,0.3,21,76.5,36.7,0.4,362.5,1294.5
Teosinte,Ames 21798,"Mexico, Guerrero",Zea mays,parviglumis,0.965,0.716,0.249,0.243,0.326,0.085,12.2,0.631,65.4,0.042,550.1,9.6,1.4,11.5,0.12,14.3,0.3,27.7,72.3,39.3,0.5,249.3,726.7
Teosinte,Ames 21799,"Mexico, Guerrero",Zea mays,parviglumis,1.142,0.882,0.26,0.227,0.294,0.015,1.69,0.867,75.96,0.044,620.7,10.3,2.5,8.3,0.3,21,1,26,85,50,0.4,268,776
Teosinte,Ames 21800,"Mexico, Guerrero",Zea mays,parviglumis,1.031,0.78,0.251,0.238,0.313,0.076,7.11,0.705,68.33,0.039,580.5,9.5,3.3,12.9,0.26,17,0,26.5,94.3,50.5,0.5,136,355.5
Teosinte,Ames 21801,"Mexico, Guerrero",Zea mays,parviglumis,1.76,1.328,0.432,0.247,0.331,0.152,11.2,1.176,66.82,0.061,946.4,12.8,2.8,12.3,0.23,19,0.5,22.5,84,62,0.6,172,473
Teosinte,Ames 21802,"Mexico, Guerrero",Zea mays,parviglumis,1.29,0.931,0.358,0.272,0.376,0.035,3.25,0.897,69.51,0.051,613.2,10.4,1.8,10.4,0.17,16,0,24.7,73.5,42.3,0.5,188.3,714.3
Teosinte,Ames 21803,"Mexico, Guerrero",Zea mays,parviglumis,0.934,0.708,0.226,0.245,0.326,0.059,9.95,0.649,69.48,0.033,569.7,9.5,2,14.4,0.14,15.5,1,29,83,36,0.5,466.5,1780
Teosinte,Ames 21808,"Mexico, Guerrero",Zea mays,parviglumis,1.039,0.758,0.281,0.268,0.366,0.112,14.5,0.646,62.16,0.051,640.2,9.9,3.6,18,0.2,20.3,1,28.3,75.2,50.7,0.6,368.5,1300.5
Teosinte,Ames 21809,"Mexico, Guerrero",Zea mays,parviglumis,1.096,0.847,0.249,0.224,0.29,0.124,15.2,0.723,65.95,0.039,657.7,10.3,4,17.2,0.23,15.7,0,34.3,90.7,57.3,0.9,260.3,695.7
Teosinte,Ames 21810,Mexico,Zea mays,parviglumis,1.046,0.781,0.265,0.25,0.335,0.038,5.12,0.742,70.99,0.041,713.8,10.8,1.7,9.5,0.18,12.5,0.5,25,79.8,39,0.5,377,1314.5
Teosinte,Ames 21812,"Mexico, Guerrero",Zea mays,parviglumis,0.847,0.615,0.232,0.272,0.375,0.004,0.72,0.61,72.07,0.04,535.8,9,2.7,7.1,0.38,19,1,20,88.5,41,0.5,232.5,627.5
Teosinte,Ames 21814,Mexico,Zea mays,parviglumis,0.824,0.549,0.274,0.322,0.482,0.004,0.98,0.545,66.15,0.044,561.3,9.4,2.2,13.5,0.16,13,0,30,70.2,72.3,0.5,267.7,847.3
Teosinte,Ames 21826,"Mexico, Guerrero",Zea mays,parviglumis,1.049,0.798,0.251,0.241,0.321,0.034,3.6,0.763,72.79,0.037,738.8,10.9,1.7,12.1,0.14,17.3,0.3,27,90.2,44.3,0.6,168.7,442.7
