Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP1,O. sativa,China,27.57,119.7,0.49,temperate japonica
HP2,O. sativa,China,30.68,119.68,0.71,temperate japonica
HP3,O. sativa,China,30.77,120.76,0.92,temperate japonica
HP4,O. sativa,China,30.77,120.76,0.61,temperate japonica
HP5,O. sativa,China,38.47,111.22,0.86,temperate japonica
HP6,O. sativa,China,38.47,111.22,0.57,temperate japonica
HP7,O. sativa,China,30.84,120.92,0.54,temperate japonica
HP8,O. sativa,China,30.16,120.1,1.33,temperate japonica
HP9,O. sativa,China,19.05,109.83,0.87,temperate japonica
HP10,O. sativa,China,25.03,121.3,1.16,temperate japonica
HP11,O. sativa,China,26.46,116,0.89,temperate japonica
HP12,O. sativa,China,40.2,117.97,1.06,temperate japonica
HP13,O. sativa,China,39.82,118.13,0.62,temperate japonica
HP14,O. sativa,China,31.64,104.41,1.22,temperate japonica
HP15,O. sativa,China,37.54,112.33,0.86,temperate japonica
HP16,O. sativa,China,37.54,112.33,0.73,temperate japonica
HP17,O. sativa,China,40.13,124.37,0.88,temperate japonica
HP18,O. sativa,China,40.13,124.37,0.72,temperate japonica
HP19,O. sativa,China,40.13,124.37,0.81,temperate japonica
HP20,O. sativa,China,40.3,123.25,0.87,temperate japonica
HP21,O. sativa,China,43.54,125.19,0.49,temperate japonica
HP22,O. sativa,China,34.79,116.57,1.02,temperate japonica
HP23,O. sativa,China,41.49,125.92,1.02,temperate japonica
HP24,O. sativa,China,26.34,116.32,1.03,temperate japonica
HP25,O. sativa,China,36.06,113.81,0.85,temperate japonica
HP26,O. sativa,China,31.22,121.48,0.57,indica
HP27,O. sativa,China,31.64,120.74,1.31,intermedia
HP28,O. sativa,China,31.36,119.82,0.78,intermedia
HP29,O. sativa,China,34.54,118.75,1.21,temperate japonica
HP30,O. sativa,China,31.89,117.47,0.64,temperate japonica
HP31,O. sativa,China,26.73,117.45,0.74,temperate japonica
HP32,O. sativa,China,36.4,117,1.68,temperate japonica
HP33,O. sativa,China,31.25,113.69,0.5,temperate japonica
HP34,O. sativa,China,29.23,113.8,0.57,temperate japonica
HP35,O. sativa,China,31.17,112.58,1.75,temperate japonica
HP36,O. sativa,China,28.3,109.71,1.65,temperate japonica
HP37,O. sativa,China,29.64,109.42,0.52,temperate japonica
HP38,O. sativa,China,27.37,109.16,0.96,temperate japonica
HP39,O. sativa,China,25.52,111.57,1.7,temperate japonica
HP40,O. sativa,China,26.37,110.3,0.56,temperate japonica
HP41,O. sativa,China,26.37,110.3,0.81,intermedia
HP42,O. sativa,China,23.35,102.42,1.66,indica
HP43,O. sativa,China,25.44,105.18,0.54,temperate japonica
HP44,O. sativa,China,24.69,99.15,0.66,temperate japonica
HP45,O. sativa,China,25.11,105.49,0.52,temperate japonica
HP46,O. sativa,China,26.89,109.2,1.88,temperate japonica
