is_no,pi,Latitude,Longitude
IS10060,PI563334,14.10000038,-1.629999995
IS10105,PI563338,13.06000042,-3.059999943
IS10139,PI563343,13.57999992,-2.420000076
IS10162,PI563348,12.46000004,-3.460000038
IS10168,PI563350,11.65999985,-1.059999943
IS10186,PI563359,10.32999992,-3.180000067
IS10192,PI563364,13.32999992,0.400000006
IS10195,PI563366,11.14000034,-3.059999943
IS10278,PI563377,15.34000015,32.31000137
IS10279,PI563378,15.34000015,32.31000137
IS11010,PI329252,9.020000458,38.74000168
IS11014,PI329256,15.31999969,38.91999817
IS11043,PI329285,9.579999924,41.86000061
IS11044,PI329286,9.579999924,41.86000061
IS11057,PI329299,14.39999962,39.38000107
IS11058,PI329300,14.39999962,39.38000107
IS11059,PI329301,14.39999962,39.38000107
IS11068,PI329310,9.300000191,42.13000107
IS11069,PI329311,7.130000114,42.86000061
IS11070,PI329312,7.130000114,42.86000061
IS11074,PI329316,8.979999542,37.84999847
IS11076,PI329318,11.25,39.56000137
IS11077,PI329319,9.180000305,38.33000183
IS11078,PI329320,9.180000305,38.33000183
IS11082,PI329325,9.130000114,37.04000092
IS11083,PI329326,9.130000114,37.04000092
IS11090,PI329333,9.130000114,37.04999924
IS11096,PI329338,10,39.88999939
IS11108,PI329351,10.30000019,39.97999954
IS11151,PI329394,11.18000031,40.00999832
IS11160,PI329403,11.13000011,39.63000107
IS11199,PI329442,15.31999969,38.91999817
IS11222,PI329465,9.399999619,38.84000015
IS11223,PI329466,9.399999619,38.84000015
IS11227,PI329470,8.6,39.1166667
IS11228,PI329471,8.6,39.1166667
IS11230,PI329473,7.349999905,38.66999817
IS11231,PI329475,7.849999905,36.08000183
IS11232,PI329476,6.75,38.40999985
IS11233,PI329477,6.75,38.40999985
IS11234,PI329478,7.849999905,36.08000183
IS11236,PI329480,7.199999809,38.59999847
IS11257,PI329501,7.949999809,39.13000107
IS11258,PI329504,7.949999809,39.13000107
IS11260,PI329506,7.949999809,39.13000107
IS11264,PI329510,8.539999962,39.27000046
IS11265,PI329511,8.539999962,39.27000046
IS11269,PI329517,8.739999771,38.97999954
IS11270,PI329518,8.109999657,38.36999893
IS11271,PI329519,8.109999657,38.36999893
IS11292,PI329540,8.529999733,37.97999954
IS11293,PI329541,8.529999733,37.97999954
IS11297,PI329545,8.270000458,37.77000046
IS11298,PI329546,8.270000458,37.77000046
IS11301,PI329550,7.670000076,36.84000015
IS11302,PI329551,7.670000076,36.84000015
IS11305,PI329554,7.670000076,36.84000015
IS11307,PI329556,7.340000153,37.34000015
IS11320,PI329569,8.949999809,38.70999908
IS11321,PI329570,7.849999905,36.65000153
IS11323,PI329572,7.849999905,36.65000153
IS11334,PI329583,7.960000038,37.43000031
IS11335,PI329584,7.960000038,37.43000031
IS11336,PI329585,7.960000038,37.43000031
IS11350,PI329605,8.970000267,37.84999847
IS11351,PI329606,8.970000267,37.84999847
IS11359,PI329614,9.909999847,38.31000137
IS11360,PI329615,9.909999847,38.31000137
IS11362,PI329617,9,37.31000137
IS11363,PI329618,9,37.31000137
IS11377,PI329632,9.079999924,36.54999924
IS11389,PI329644,8.930000305,36.58000183
IS11390,PI329645,9.56000042,37.09999847
IS11391,PI329646,9.56000042,37.09999847
IS11407,PI329665,9.029999733,38.40000153
IS11414,PI329673,9.029999733,38.40000153
IS11435,PI329699,6.960000038,35.75999832
IS11436,PI329700,8.239999771,34.58000183
IS11438,PI329702,9.670000076,39.52999878
IS11440,PI329704,9.670000076,39.52999878
IS11446,PI329710,9.840000153,39.75999832
IS11447,PI329711,9.840000153,39.75999832
IS11548,PI329813,14.13000011,38.70999908
IS11549,PI329814,14.13000011,38.70999908
IS11572,PI329841,12.22999954,37.29000092
IS11574,PI329843,11.55000019,37.36000061
IS11579,PI329848,10.15999985,38.13000107
IS11580,PI329849,10.15999985,38.13000107
IS11593,PI329864,9.300000191,38.75
IS11594,PI329865,9.300000191,38.75
IS11642,PI329920,9.210000038,41.09000015
IS11887,PI330167,11.82999992,39.68000031
IS11888,PI330168,11.82999992,39.68000031
IS11889,PI330169,11.82999992,39.68000031
IS11890,PI330170,11.82999992,39.68000031
IS11901,PI330181,12.15999985,39.63000107
IS11902,PI330182,12.15999985,39.63000107
IS11904,PI330184,12.40999985,39.54999924
IS11905,PI330185,12.40999985,39.54999924
IS11912,PI330192,13.48999977,39.47000122
IS11913,PI330195,14.05000019,39.56000137
IS11914,PI330196,13.68000031,39.58000183
IS11917,PI330199,14.27999973,39.45999908
IS11988,PI330271,10,39.88999939
IS12080,PI330796,7.050000191,37.59999847
IS12082,PI330798,8.529999733,37.93000031
IS12087,PI330803,8.529999733,34.79999924
IS12088,PI330804,8.529999733,34.79999924
IS12091,PI330807,8.520000458,34.79000092
IS12112,PI330828,9.159999847,35.83000183
IS12117,PI330833,9.149999619,36.40000153
IS12118,PI330834,9.149999619,36.40000153
IS12119,PI330835,9.159999847,35.83000183
IS12122,PI330838,9.56000042,37.54999924
IS12131,PI330847,9.56000042,37.54999924
IS12135,PI330851,9.359999657,37.11000061
IS12141,PI330857,9.359999657,37.11000061
IS12142,PI330858,8.329999924,41.59000015
IS12151,PI330867,8.329999924,41.59000015
IS12246,PI337674,9.380000114,41.45999908
IS12248,PI337676,5.210000038,39.83000183
IS12250,PI337678,9.079999924,40.86000061
IS12252,PI337680,9.899999619,38.58000183
IS12256,PI337684,8.850000381,35.63999939
IS12257,PI337685,9.899999619,38.58000183
IS12260,PI337688,5.210000038,39.83000183
IS12261,PI337689,9.039999962,40.90000153
IS12336,PI563482,14.56999969,-16.37999916
IS12339,PI563483,14.21000004,-16.54999924
IS12357,PI563484,14.56000042,-15.02999973
IS12367,PI563485,15.28999996,-16.20999908
IS12368,PI563486,15.28999996,-16.20999908
IS12374,PI563487,12.10999966,-6.909999847
IS12380,PI563515,13.48999977,-7.28000021
IS12381,PI563516,13.48999977,-7.28000021
IS12411,PI563489,8.5,4.550000191
IS12412,PI563490,8.5,4.550000191
IS12413,PI563491,8.5,4.550000191
IS12420,PI563492,10.02999973,6.110000134
IS12454,PI563497,11.25,30.01000023
IS12472,PI563513,12.89999962,23.46999931
IS12562,PI151198,11.36999989,39.79999924
IS12597,PI155541,-12.27999973,32.5
IS12676,PI285039,11.06000042,7.699999809
IS12678,PI285042,11.06000042,7.699999809
IS14446,PI571370,14.03999996,35.22000122
IS14461,PI570917,13.53999996,35.13000107
IS14462,PI570918,13.53999996,35.13000107
IS14476,PI571376,8.409999847,32.06000137
IS14567,PI569012,13.82999992,35.43000031
IS20043,PI514456,13.38000011,-12.27999973
IS20074,PI514610,12.52999973,-12.31999969
IS20151,PI514617,13.07999992,-16.05999947
IS21519,PI521833,-11.71000004,33.63000107
IS22242,PI510907,-24.39999962,26.12000084
IS22244,PI510910,-24.72999954,25.84000015
IS22245,PI510911,-24.72999954,25.84000015
IS22258,PI510925,-24.37999916,26.14999962
IS22259,PI510926,-24.37999916,26.14999962
IS22263,PI510931,-24.37000084,23.14999962
IS22264,PI510932,-24.37000084,23.14999962
IS22288,PI510958,-22.93000031,27.57999992
IS22289,PI510959,-22.93000031,27.57999992
IS22295,PI510966,-22.46999931,26.81999969
IS22296,PI510967,-22.46999931,26.81999969
IS22297,PI510968,-22.43000031,26.40999985
IS22298,PI510969,-22.43000031,26.40999985
IS22308,PI510979,-23.06999969,26.90999985
IS22318,PI510990,-20.27000046,23.11000061
IS22319,PI510991,-20.27000046,23.11000061
IS22336,PI511008,-24.62999916,23.51000023
IS22337,PI511009,-24.62999916,23.51000023
IS22357,PI569803,14.39999962,33.52999878
IS22358,PI569804,14.39999962,33.52999878
IS22359,PI569805,14.03999996,35.36999893
IS22373,PI569819,15.46000004,36.38000107
IS22387,PI569833,13.51000023,35.75999832
IS22388,PI569834,13.60000038,35.74000168
IS22401,PI569847,15.46000004,36.38999939
IS22414,PI569860,11.77000046,34.34999847
IS22423,PI569869,11.27999973,34.11100006
IS22424,PI569870,11.27999973,34.11100006
IS22427,PI569873,11.76900005,34.34899902
IS22429,PI569875,10.71000004,33.47999954
IS22430,PI569876,10.71000004,33.47999954
IS22440,PI569886,10.55000019,34.27999878
IS2267,PI570501,4.239999771,32.33000183
IS22675,PI608862,12.39000034,-7.590000153
IS22676,PI608863,12.39000034,-7.590000153
IS22677,PI608864,12.39000034,-7.590000153
IS22678,PI608865,12.39000034,-7.590000153
IS2285,PI570512,14.23999977,33.29999924
